iter	Passed	Remaining
0	1	161
1	3	159
2	4	150
3	5	141
4	7	137
5	8	134
6	9	130
7	11	128
8	12	125
9	13	123
10	15	121
11	16	119
12	17	119
13	19	118
14	20	116
15	21	115
16	23	113
17	24	111
18	25	109
19	27	108
20	28	107
21	29	105
22	31	105
23	32	103
24	34	102
25	35	100
26	36	99
27	38	98
28	39	97
29	41	95
30	41	93
31	43	91
32	44	90
33	45	88
34	47	87
35	48	86
36	49	84
37	50	83
38	51	81
39	53	79
40	54	78
41	54	75
42	56	74
43	57	72
44	58	70
45	59	69
46	61	68
47	62	67
48	63	66
49	64	64
50	65	62
51	66	61
52	67	60
53	69	58
54	69	57
55	71	55
56	72	54
57	74	53
58	75	52
59	76	51
60	78	50
61	79	48
62	80	47
63	82	46
64	83	44
65	83	43
66	85	41
67	87	41
68	88	39
69	89	38
70	90	37
71	92	35
72	92	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	27
78	100	26
79	101	25
80	102	24
81	104	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	118	8
93	119	7
94	120	6
95	121	5
96	122	3
97	124	2
98	125	1
99	126	0
